employee_id,first_name,last_name,department,job_title,hire_date,employment_status,salary,manager_id,gender,age,performance_rating,years_at_company,last_promotion_date,termination_date
1,Ian,Rodriguez,HR,Senior Developer,2015-06-21,Terminated,45913.36,171.0,Non-binary,36,3,9,2019-07-23,2022-08-24
2,Juan,Cruz,Sales,Senior Developer,2019-04-20,Terminated,80292.01,,Non-binary,38,1,5,,
3,Michael,Miller,Operations,Data Analyst,2021-10-19,On Leave,112257.82,,Non-binary,46,1,2,2022-06-29,
4,David,Reid,HR,Senior Developer,2021-02-15,Terminated,119354.38,,Male,51,2,3,,2024-05-12
5,Tracey,Keller,Operations,Junior Developer,2018-04-14,On Leave,103536.17,,Female,35,1,6,,
6,Brian,Boyd,Operations,Sales Associate,2023-06-23,Inactive,30995.48,,Non-binary,27,3,1,,
7,Bruce,Curtis,IT,Junior Developer,2022-02-03,Terminated,65764.83,489.0,Female,51,5,2,,2024-01-23
8,Thomas,Marquez,Sales,Data Analyst,2017-11-07,Active,226186.23327000003,,Non-binary,39,5,6,,
9,Jason,Torres,Finance,Manager,2021-10-30,Terminated,104187.02,,Female,54,3,2,,2022-11-26
10,Valerie,Le,Operations,Manager,2020-02-13,Inactive,52556.95,,Non-binary,34,2,4,,
11,Mary,Harris,HR,Sales Associate,2019-04-12,Terminated,81634.45,362.0,Non-binary,27,1,5,,2024-08-30
12,Pamela,Stevenson,IT,Senior Developer,2024-03-10,Inactive,37378.42,404.0,Male,30,3,0,,
13,Angela,Cook,Marketing,Sales Associate,2019-01-14,Terminated,59297.92,542.0,Female,58,1,5,2023-10-06,2023-03-24
14,Darren,Burns,Operations,HR Specialist,2017-07-02,Terminated,119881.63,,Male,35,4,7,,2021-12-02
15,Stephen,Thomas,Operations,Manager,2016-12-08,Terminated,79229.0,,Female,56,1,7,,2019-04-21
16,Mariah,Hinton,Finance,Manager,2023-09-16,Active,87824.76,,Male,42,2,0,2023-11-20,
17,Sally,Jones,IT,Junior Developer,2020-03-18,On Leave,42458.87,783.0,Female,50,2,4,,
18,Julie,Pham,IT,Data Analyst,2018-07-10,Inactive,116004.75,,Male,34,5,6,,
19,Margaret,Johnson,Marketing,HR Specialist,2022-07-30,Terminated,102167.65,506.0,Female,44,2,2,2024-09-10,2023-12-15
20,Michael,Hayes,HR,Junior Developer,2020-12-10,On Leave,80680.72,,Non-binary,23,4,3,2023-12-15,
21,Jeff,Dennis,IT,Data Analyst,2017-07-04,On Leave,78221.45,100.0,Non-binary,25,1,7,,
22,Garrett,Ford,IT,HR Specialist,2015-12-21,On Leave,45098.01,,Non-binary,40,4,8,,
23,Jeffrey,Gordon,Sales,Data Analyst,2018-03-15,On Leave,98006.35,592.0,Non-binary,58,2,6,,
24,Laura,Sharp,Sales,Data Analyst,2020-11-23,On Leave,43734.37,235.0,Male,44,4,3,,
25,Christopher,Sampson,HR,Junior Developer,2020-11-02,On Leave,83829.57,,Male,36,5,3,,
26,Erin,Schmidt,Finance,Junior Developer,2017-02-22,Active,94932.65,,Male,47,3,7,2019-11-13,
27,Tracy,Cole,Sales,Manager,2025-01-01,On Leave,54620.86,,Male,59,3,7,,
28,Jose,Murphy,Marketing,Junior Developer,2024-07-14,Terminated,63395.84,,Non-binary,48,5,0,2024-08-20,2024-07-24
29,Ariel,White,Marketing,Data Analyst,2023-08-17,Active,91298.08,342.0,Non-binary,30,2,1,2023-10-26,
30,Steven,Mckenzie,HR,Manager,2024-04-20,Active,226186.23327000003,,Female,35,4,0,,
31,Paul,Christensen,Sales,HR Specialist,2021-07-14,Inactive,74282.08,,Female,47,3,3,,
32,Jacqueline,Turner,Operations,Junior Developer,2021-05-30,Inactive,118192.55,515.0,Male,42,1,3,2022-06-26,
33,Deanna,Mercer,Marketing,Junior Developer,2020-04-01,Terminated,86840.94,,Non-binary,22,5,4,2023-06-07,2023-02-11
34,Joseph,Kemp,Sales,Manager,2015-07-23,Active,72120.26,,Non-binary,30,1,9,,
35,Justin,Cruz,Operations,Junior Developer,2019-03-11,Inactive,62549.87,,Female,45,5,5,,
36,Teresa,Garcia,Operations,Senior Developer,2015-05-15,Inactive,40443.83,,Male,31,5,9,2015-12-09,
37,Nathan,Barber,HR,Data Analyst,2020-01-30,Inactive,40795.47,98.0,Male,58,4,4,,
38,Michael,Hubbard,Operations,HR Specialist,2015-12-01,On Leave,48472.42,,Female,45,5,8,,
39,Kristina,Flynn,Marketing,Manager,2018-07-01,Terminated,75964.98,,Non-binary,29,4,6,2019-06-21,2024-06-06
40,Julie,Frazier,Sales,Senior Developer,2019-04-01,On Leave,101482.94,,Male,39,2,5,,
41,Jacob,Green,HR,Sales Associate,2018-08-09,Terminated,72148.97,,Male,41,3,6,,2019-03-01
42,Alisha,Robertson,HR,Manager,2023-02-22,Terminated,110026.86,646.0,Male,48,1,1,,2024-07-03
43,Craig,Ramirez,IT,Manager,2020-08-31,On Leave,112744.89,,Male,54,3,4,,
44,Cynthia,Curtis,Marketing,Data Analyst,2021-06-10,On Leave,74184.48,,Female,55,2,3,,
45,Thomas,Cummings,Marketing,HR Specialist,2018-08-14,Inactive,49930.21,356.0,Non-binary,55,5,6,2019-09-25,
46,Fernando,Orozco,HR,Junior Developer,2021-09-10,On Leave,51177.5,,Female,56,3,3,,
47,William,Ray,IT,Junior Developer,2018-11-22,On Leave,58792.23,,Male,57,3,5,,
48,Samuel,Tucker,Finance,Data Analyst,2020-08-12,Active,43805.05,456.0,Non-binary,41,3,4,2021-01-06,
49,Jon,Hart,IT,Sales Associate,2022-11-16,Active,60165.54,,Female,27,5,1,2024-06-12,
50,Marcus,Wilson,Marketing,HR Specialist,2015-08-27,Active,91371.54,71.0,Non-binary,54,4,9,,
51,Joshua,Parker,Operations,Junior Developer,2018-12-07,On Leave,74018.27,,Female,52,4,5,2019-01-01,
52,Jacob,Mcgee,Marketing,Junior Developer,2018-01-07,On Leave,80808.95,,Male,32,4,6,2022-10-03,
53,Sarah,Lewis,Finance,Manager,2017-06-17,Inactive,94930.63,573.0,Female,33,1,7,,
54,Jennifer,Miller,Operations,HR Specialist,2024-01-21,On Leave,98689.42,469.0,Female,39,4,0,,
55,George,Brown,Marketing,Senior Developer,2015-07-31,Active,42383.61,690.0,Non-binary,58,2,9,,
56,Steve,Velazquez,HR,Manager,2021-03-12,Active,108906.94,755.0,Male,45,5,3,,
57,Brandon,Kim,Finance,Sales Associate,2023-06-02,Inactive,46709.56,338.0,Female,37,3,1,,
58,Michael,Mccullough,IT,HR Specialist,2022-04-08,On Leave,87581.07,,Male,44,3,2,,
59,Aaron,Johnson,Operations,HR Specialist,2016-02-06,Inactive,106363.08,,Non-binary,55,3,8,2024-05-03,
60,Colleen,Sullivan,IT,Junior Developer,2015-06-18,Terminated,102152.21,,Female,33,5,9,,2018-07-03
61,Michael,Lopez,Marketing,Junior Developer,2015-04-03,Active,106476.22,775.0,Non-binary,52,4,9,,
62,Jennifer,Jackson,IT,Senior Developer,2017-06-08,Terminated,49544.7,,Male,46,5,7,2020-12-28,2024-05-29
63,Monica,Hunt,HR,Sales Associate,2021-05-16,Terminated,55569.94,,Non-binary,47,2,3,2022-12-16,2021-05-24
64,Christine,Hayes,Sales,Senior Developer,2017-07-14,Terminated,116347.37,,Female,41,2,7,,2021-10-04
65,Amanda,Bolton,Sales,Senior Developer,2023-03-18,Active,226186.23327000003,,Female,49,5,1,2023-04-13,
66,Virginia,Gomez,Finance,HR Specialist,2022-07-12,Active,114180.8,,Non-binary,49,5,2,,
67,Emily,Hill,HR,Manager,2015-07-05,Terminated,109147.21,,Non-binary,46,1,9,,2023-06-15
68,Richard,Ramsey,HR,Junior Developer,2015-12-23,Active,58542.42,255.0,Non-binary,50,4,8,2022-02-15,
69,Nicole,Davis,Marketing,Data Analyst,2020-11-20,Active,91250.89,,Male,53,3,3,2022-01-23,
70,Amanda,Riley,HR,Senior Developer,2017-09-21,Inactive,47635.51,,Non-binary,51,1,6,,
71,Karen,Miller,Finance,Senior Developer,2022-03-24,Inactive,109451.93,,Male,41,4,2,2023-08-20,
72,Kristi,Holloway,Sales,Data Analyst,2019-04-03,On Leave,97044.64,,Female,59,1,5,2019-11-20,
73,Christopher,Harris,HR,Manager,2016-09-14,Inactive,110741.39,,Female,43,3,7,,
74,Dustin,Webb,Operations,Junior Developer,2017-09-27,On Leave,34031.45,92.0,Male,57,4,6,,
75,Juan,Gonzales,Sales,Sales Associate,2020-11-15,On Leave,86579.14,,Male,26,5,3,,
