ticket_id,request_type,priority,status,created_date,resolved_date,sla_breach,assigned_group,assignee,requester,category,subcategory,impact,resolution_description,time_to_resolution
bca89363-dfda-4d12-9765-a5794f630dc2,Incident,High,Resolved,2020-07-16 15:44:47,,False,Security,Richard Marshall,Karen Rodriguez,Change Request,Other,Low,Consider degree tend policy hotel production result.,
0082d31a-e7ed-4b5b-9b21-844a80748506,Incident,Critical,Resolved,2022-08-28 23:19:46,,False,Support,Elizabeth Simmons,Sarah Harvey,Change Request,Hardware,High,Page computer sit whether.,
d0b764ac-25de-4657-8fa8-5b0c3f4853e9,Incident,High,Closed,2023-01-22 12:27:56,,False,Support,Dylan Hall,Brittany Oliver,Incident,Hardware,Low,Anything key short soldier.,
08f6e9fc-9548-4a89-a5ff-ee885a103938,Service Request,High,Open,2021-01-08 10:15:04,,False,Database,Thomas Brown,Christopher Stark,Service Request,Software,Low,Return ahead per break worry agree physical wife.,
3af0e55b-fe57-4957-bb22-4a113719d164,Service Request,High,Open,2023-07-21 01:11:43,2023-07-22 01:11:43,False,Security,Tammy Thompson,Dr. Virginia Weaver,Incident,Other,High,Per eight involve agree win several reflect word.,1.0
39b26696-9ae8-4a5a-a45a-0d25c9cd3467,Incident,High,In Progress,2022-02-17,,False,Database,Connie Mcintosh,Selena Weber,Service Request,Software,High,Cover fly long box.,
51286d64-0922-4b32-a326-a458155e7cfe,Incident,Critical,Pending,2020-02-22 15:43:34,,False,Support,David Guerra,Tyler Riley,Incident,Hardware,High,Strategy say read seem discussion ahead.,
fd513228-7bea-49ac-ae2e-ed132221219e,Service Request,Medium,In Progress,2021-01-15 13:55:50,,False,Database,Alexander Beck,Ryan Jenkins,Incident,Access,High,You most guy involve information decision.,
903b3dc5-46a9-48e0-a708-3133b2acd32e,Service Request,Critical,Closed,2020-03-14 09:08:41,,False,Support,Timothy Glover,Hannah Schmidt,Change Request,Access,Medium,Second memory themselves front song could.,
ecc66d4b-604a-47d7-b4b2-b0229e768442,Incident,Medium,In Progress,2022-06-04 14:52:25,,False,Application,Joseph Gilbert,Amanda Kennedy,Change Request,Access,Low,Artist still receive follow this specific table piece.,
34d0c3f1-4496-4b24-a2f6-e40757b1de1d,Service Request,High,Closed,2020-06-15 00:04:18,2020-06-23 00:04:18,True,Network,Elizabeth Chambers,Barry Cruz,Change Request,Other,Low,Everything sport report data.,8.0
57db9ba0-906a-4694-b01d-6e29153d00aa,Service Request,High,Closed,2023-03-01 00:38:58,,False,Security,Melissa Hoffman,Joseph Allen,Service Request,Other,Medium,Class anything blue court likely enough.,
5e9073e4-2795-44aa-bed0-42612ffa0ab2,Incident,Critical,Open,2020-03-24 23:16:15,,False,Database,Kathryn Evans,Brenda Ford,Incident,Software,High,Maybe good address great.,
eac498c4-9561-4a9f-8921-b621dcb92a28,Service Request,High,Resolved,2021-01-04 20:15:38,2021-01-06 20:15:38,False,Security,Tyler Allen,Bryan Castillo,Incident,Hardware,Low,Draw mind situation begin anything hold.,2.0
a8617f74-9c95-4f7d-8488-3625d0a395fc,Incident,Low,Open,2020-05-12 23:31:57,,False,Application,Terry Lewis,Caitlin Marshall,Incident,Access,High,Staff role big including.,
8a37d454-ac57-43a5-8308-a2e69763fab4,Service Request,Medium,Open,2022-11-06 09:53:18,2022-11-09 09:53:18,False,Application,Kristen Miller,Brandon Montgomery,Change Request,Access,Medium,Response who court piece speak fight.,3.0
bc42bdcf-0f21-42e0-bd61-2612136a1c2a,Incident,Critical,Open,2020-10-10 03:19:51,,False,Application,William Lee,Chase Novak,Incident,Access,High,Worry radio street send.,
