employee_id,name,age,department,job_level,location,salary,years_with_company,last_performance_rating,is_remote,promotion_last_2_years,left_company,gender
E10000,James Howard,53,R&D,Mid,Berlin,95119,7,3,False,1,1,Male
E10001,Melissa Hood,21,IT,Mid,San Francisco,65048,0,1,True,1,1,Female
E10002,Patricia Lopez,33,Finance,VP,San Francisco,91124,12,2,False,1,1,Male
E10003,Breanna Doyle,59,R&D,Junior,Remote,90184,8,2,True,1,1,Male
E10004,Alexander Smith,43,Admin,Senior,London,98910,19,1,True,1,0,Female
E10005,Terry Montoya,64,Legal,Junior,Tokyo,243805,29,1,True,1,1,Male
E10006,Joseph Rodriguez,31,Finance,Director,Remote,54753,20,3,True,0,0,Male
E10007,Jesse Chambers,36,Marketing,Senior,Tokyo,81092,0,2,True,1,0,Male
E10008,Christopher White,42,HR,Intern,San Francisco,147313,14,1,False,1,1,Male
E10009,Jeffrey Dixon,36,HR,Junior,Berlin,148451,10,4,True,0,0,Female
E10010,Virginia Hopkins,61,Operations,Junior,Berlin,92131,17,2,True,1,1,Male
E10011,Arthur Newton,49,R&D,Lead,Bangalore,136256,39,1,True,1,0,Male
E10012,Nathaniel Campbell,22,Finance,Junior,Tokyo,54295,16,1,True,1,0,Female
E10013,Felicia Gray,37,Finance,Manager,San Francisco,69505,28,5,False,1,1,Male
E10014,Deborah Butler,55,Sales,C-level,Berlin,3492,14,4,True,1,1,Male
E10015,Phillip Cortez,58,Admin,Intern,New York,276403,18,5,False,1,1,Male
E10016,Bethany Williams,25,Operations,Mid,San Francisco,108279,26,5,True,1,0,Non-binary
E10017,Daniel Stevens,54,Marketing,Intern,San Francisco,144130,9,2,True,1,1,Female
E10018,Richard Alexander,51,Admin,Mid,New York,49911,34,3,False,1,1,Female
E10019,Lori Buchanan,27,Legal,Manager,London,99545,13,3,True,1,0,Male
E10020,Jeremy Edwards,40,Marketing,Mid,Berlin,90700,20,5,True,0,0,Male
E10021,Albert Callahan,39,HR,Intern,San Francisco,121672,4,1,True,1,0,Female
E10022,Holly Maldonado,24,IT,Manager,Bangalore,98340,5,3,False,0,1,Female
E10023,Randall Smith,49,IT,Junior,Remote,253491,18,4,False,1,1,Male
E10024,Rebecca Padilla,39,Operations,Mid,San Francisco,20609,24,3,False,0,1,Male
E10025,Jerome Hernandez,62,IT,Intern,New York,-11916,32,1,True,1,1,Male
E10026,Juan Hill,50,Finance,VP,San Francisco,94339,11,2,True,1,0,Male
E10027,Jesse Mullen,31,Sales,Manager,San Francisco,20663,30,5,False,1,1,Male
E10028,Michelle Davidson,26,R&D,VP,Berlin,84961,20,1,False,1,1,Male
